1	2
1	4
1	5
1	6
2	3
2	5
2	6
3	4
3	5
3	9
4	5
4	9
6	9
7	9
8	9
9	11
9	12
9	15
12	13
13	14
14	15
15	16
15	17
15	18
9	18
18	19
9	19
12	19
19	20
20	21
9	22
11	21
12	21
13	18
20	23
21	23
21	24
20	24
12	20
12	19
24	26
25	26
25	27
27	28
28	29
29	30
25	30
26	30
18	30
20	27
15	27
25	31
29	31
9	31
13	31
25	32
29	32
27	32
30	32
31	33
31	34
31	35
34	35
34	36
35	36
35	37
36	37
37	38
38	39
38	40
37	41
36	41
31	41
34	42
36	42
41	44
43	44
42	44
42	45
43	45
45	46
45	47
44	45
44	48
41	48
48	49
41	49
42	49
45	49
49	50
49	51
48	51
50	52
52	53
50	51
50	54
50	55
50	56
51	54
51	55
51	56
54	55
54	56
55	56
52	56
56	57
55	57
54	58
51	59
54	59
44	60
60	61
60	62
60	63
60	64
61	62
61	63
61	64
62	63
62	64
63	64
59	65
65	66
66	67
67	68
68	69
66	70
70	41
66	71
71	72
72	74
72	73
71	73
71	75
75	76
41	77
77	78
77	79
79	80
77	81
77	70
32	82
82	83
83	84
84	85
85	86
85	87
85	88
88	89
85	90
85	76
91	92
85	91
91	92
92	93
93	94
94	95
94	96
96	97
97	74
97	98
98	99
100	101
98	100
97	99
96	98
96	102
94	103
102	104
102	105
102	106
102	107
102	108
108	109
96	109
98	110
109	111
109	112
112	113
113	114
114	115
115	116
111	115
115	117
111	117
115	119
117	118
118	120
120	121
107	121
119	122
122	123
122	124
122	125
123	124
123	124
124	125
124	126
125	121
125	127
127	128
83	91
84	91
82	85
83	85
83	88
88	86
91	102
